year,rank,movieNm,openDt,salesAmt,salesShare,audiCnt,screenCnt,showCnt
2026,1,왕과 사는 남자,2026-02-04,160505638880,43.8%,16628380,2262,481732
2025,1,주토피아 2,2025-11-26,74124615600,7.1%,7705705,2383,225616
2025,2,극장판 귀멸의 칼날: 무한성편,2025-08-22,61320501650,5.9%,5691838,2298,205026
2025,3,좀비딸,2025-07-30,53134924990,5.1%,5639963,1598,188861
2025,4,F1 더 무비,2025-06-25,54936886370,5.2%,5214567,1665,195973
2025,5,아바타: 불과 재,2025-12-17,52409899290,5.0%,4569538,2582,102298
2025,6,극장판 체인소 맨: 레제편,2025-09-24,36069079810,3.4%,3431785,1064,164638
2025,7,미션 임파서블: 파이널 레코닝,2025-05-17,33259841900,3.2%,3392542,2385,150433
2025,8,야당,2025-04-16,32004168430,3.1%,3378276,1850,184070
2025,9,미키 17,2025-02-28,29709170100,2.8%,3013854,2153,158030
2025,10,어쩔수가없다,2025-09-24,28769135430,2.7%,2942778,2114,126888
2025,11,히트맨2,2025-01-22,23984663200,2.3%,2547598,1588,118863
2026,2,만약에 우리,2025-12-31,24401430460,6.7%,2473625,1116,127886
2025,12,보스,2025-10-03,23392525050,2.2%,2437494,1296,97534
2026,3,프로젝트 헤일메리,2026-03-18,26475826120,7.2%,2346697,1401,118356
2025,13,쥬라기 월드: 새로운 시작,2025-07-02,21213614760,2.0%,2225181,1645,87873
2025,15,승부,2025-03-26,20044959660,1.9%,2146672,1773,148929
2026,5,휴민트,2026-02-11,19998551360,5.5%,1981743,1520,91101
2025,16,하이파이브,2025-05-30,17545923020,1.7%,1893663,1343,101532
2025,17,드래곤 길들이기,2025-06-06,17971760490,1.7%,1792590,1650,93146
2025,18,노이즈,2025-06-25,16758897410,1.6%,1707629,1001,72287
2025,19,검은 수녀들,2025-01-24,16134349980,1.5%,1670559,1662,84463
2025,20,캡틴 아메리카: 브레이브 뉴 월드,2025-02-12,16372717086,1.6%,1654160,1901,119989
2026,6,살목지,2026-04-08,16438145450,4.5%,1591904,1511,72987
2026,7,신의악단,2025-12-31,13589981070,3.7%,1423520,907,69659
2025,21,나우 유 씨 미 3,2025-11-12,12981489790,1.2%,1371650,1352,75802
2025,22,A MINECRAFT MOVIE 마인크래프트 무비,2025-04-26,12742955670,1.2%,1358466,1450,55873
2025,23,킹 오브 킹스,2025-07-16,12427413626,1.2%,1317978,1191,52334
2025,24,얼굴,2025-09-11,11012986870,1.1%,1076611,1114,62686
2025,25,전지적 독자 시점,2025-07-23,10055229360,1.0%,1061261,1581,52084
2025,26,위키드: 포 굿,2025-11-19,9857329790,0.9%,965959,1700,61109
2025,27,극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,9781360870,0.9%,950264,424,41584
2025,28,썬더볼츠＊,2025-04-30,9282314460,0.9%,922453,1274,57252
2025,29,슈퍼맨,2025-07-09,8737926810,0.8%,864362,1286,44213
2025,30,말할 수 없는 비밀,2025-01-27,7859549300,0.8%,824156,986,64166
2025,31,신명,2025-06-02,7496376280,0.7%,788239,785,39923
2025,32,거룩한 밤: 데몬 헌터스,2025-04-30,7205989400,0.7%,777649,1097,39931
2026,9,호퍼스,2026-03-04,7485643440,2.0%,758756,1013,46909
2025,33,명탐정 코난: 척안의 잔상,2025-07-16,7396594740,0.7%,750001,901,38401
2025,34,퍼스트 라이드,2025-10-29,6844374490,0.7%,742535,1227,59343
2025,35,엘리오,2025-06-18,5629505750,0.5%,616437,1110,37845
2025,36,판타스틱 4: 새로운 출발,2025-07-24,6387300290,0.6%,590759,1027,32667
2025,37,파과,2025-04-30,5265831000,0.5%,550911,886,36772
2025,38,윗집 사람들,2025-12-03,5282534800,0.5%,546429,768,32569
2025,40,원 배틀 애프터 어나더,2025-10-01,5662788810,0.5%,533554,657,27749
2025,41,퇴마록,2025-02-21,4764727100,0.5%,502628,935,48459
2025,42,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2025-12-24,4681536750,0.4%,489021,868,15093
2025,43,릴로 & 스티치,2025-05-21,4575367310,0.4%,485327,1034,29803
2025,44,8번 출구,2025-10-22,4402559930,0.4%,450198,781,38786
2025,45,악마가 이사왔다,2025-08-13,4137162810,0.4%,437768,974,32686
2025,46,프레데터: 죽음의 땅,2025-11-05,4276561360,0.4%,422481,953,41241
2025,47,컨저링: 마지막 의식,2025-09-03,4436601090,0.4%,420992,917,27172
2025,49,배드 가이즈 2,2025-07-30,3608720190,0.3%,400013,769,19131
2025,50,뽀로로 극장판 바닷속 대모험,2025-01-01,3372930820,0.3%,397114,791,25721
2026,11,"신비아파트 10주년 극장판: 한 번 더, 소환",2026-01-14,3049157500,0.8%,339756,868,21697
2026,12,넘버원,2026-02-11,2684950020,0.7%,280137,652,18428
2026,13,하트맨,2026-01-14,2305660270,0.6%,247887,839,26022
2026,14,"2024.12.03 그날 조작된 내란, 감춰진 진실",2026-02-04,2108328620,0.6%,214463,419,8807
2026,15,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,2025-12-24,1527854760,0.4%,161314,545,10228
2026,16,프로젝트 Y,2026-01-21,1374381060,0.4%,140808,800,19822
2026,17,내 이름은,2026-04-15,1127569890,0.3%,126986,694,11222
2026,19,귀신 부르는 앱: 영,2026-02-18,998226700,0.3%,101537,190,4762
2026,20,노 머시: 90분,2026-02-04,968751830,0.3%,100939,595,9897
2026,21,명탐정 코난: 세기말의 마술사,2026-03-27,978672800,0.3%,95160,252,6384
2026,22,초속 5센티미터,2026-02-25,891500200,0.2%,93337,568,9305
2026,23,삼악도,2026-03-11,862707700,0.2%,93325,235,7800
2026,24,아이엠스타!X프리파라 더 무비 -만남의 기적!-,2026-02-04,929261850,0.3%,89301,130,4403
2026,25,끝장수사,2026-04-02,822584620,0.2%,89235,689,11279
2026,27,스폰지밥 무비: 네모바지를 찾아서,2026-01-01,750053490,0.2%,84148,505,5561
2026,29,네가 마지막으로 남긴 노래,2026-04-01,813270840,0.2%,80837,593,10164
2026,30,센티멘탈 밸류,2026-02-18,752814440,0.2%,76615,197,4432
2026,31,직장상사 길들이기,2026-01-28,714197500,0.2%,75760,661,11102
2026,32,시라트,2026-01-21,698650230,0.2%,71071,195,4488
2026,33,시스터,2026-01-28,586044080,0.2%,70293,650,10457
2026,34,하우스메이드,2026-01-28,633234990,0.2%,68333,540,8185
2026,35,햄넷,2026-02-25,640924290,0.2%,66747,381,5804
2026,36,너자 2,2026-02-25,546339650,0.1%,66134,277,4478
2026,37,메소드연기,2026-03-18,576099130,0.2%,62237,519,6710
2026,38,폭풍의 언덕,2026-02-11,613844210,0.2%,61729,428,5909
2026,39,극장판 엉덩이 탐정: 스타 앤드 문,2026-02-07,462474300,0.1%,57555,254,4062
2026,40,부흥,2026-01-01,554088380,0.2%,54970,23,1532
2026,42,점보,2026-02-18,463104540,0.1%,52582,371,3305
2026,43,뽀로로 극장판 스위트캐슬 대모험,2025-12-11,410774080,0.1%,49764,221,3041
2026,44,매드 댄스 오피스,2026-03-04,423695610,0.1%,49168,484,6831
2026,48,고고다이노 극장판: 곤충세계 대모험,2026-01-14,372677800,0.1%,41690,255,3257
2026,49,화양연화 특별판,2025-12-31,419701570,0.1%,41129,171,2841
2026,50,28년 후: 뼈의 사원,2026-02-27,436763640,0.1%,40987,467,4947
